code,name,level_0,eps,roe,fcff,ocf_to_profit,free_cashflow,grossprofit_margin,debt_to_assets,current_ratio,industry_name_L1_L2_L3
BJ833874,泰祥股份,7,0.06896551724137931,0.06896551724137931,0.4302134646962233,0.1839080459770115,0.4293924466338259,0.0361247947454844,0.0012315270935960591,0.014778325123152709,0.07019704433497537
SH600011,华能国际,21,0.015188834154351396,0.03858784893267652,0.004105090311986864,0.1839080459770115,0.004105090311986864,0.010673234811165846,0.9146141215106732,0.053366174055829226,0.7003284072249589
SH600016,民生银行,23,0.6231527093596059,0.3021346469622332,0.4302134646962233,0.9523809523809523,0.4293924466338259,0.0361247947454844,0.9835796387520526,0.014778325123152709,0.9433497536945813
SH600027,华电国际,28,0.019704433497536946,0.040229885057471264,0.003284072249589491,0.1839080459770115,0.003284072249589491,0.007389162561576354,0.8505747126436781,0.04597701149425287,0.7003284072249589
SH600029,南方航空,30,0.016420361247947456,0.022988505747126436,0.9729064039408867,0.1839080459770115,0.9720853858784894,0.0090311986863711,0.9080459770114943,0.03858784893267652,0.555008210180624
SH600030,中信证券,31,0.8883415435139573,0.6190476190476191,0.4302134646962233,0.5385878489326765,0.4293924466338259,0.0361247947454844,0.9573070607553367,0.34811165845648606,0.8464696223316913
SH600036,招商银行,33,0.9835796387520526,0.764367816091954,0.9893267651888341,0.6995073891625616,0.9893267651888341,0.0361247947454844,0.9770114942528736,0.014778325123152709,0.9433497536945813
SH600058,五矿发展,37,0.3485221674876847,0.3341543513957307,0.8563218390804598,0.6683087027914614,0.8555008210180624,0.06896551724137931,0.8719211822660099,0.32348111658456485,0.8620689655172413
SH600061,国投资本,38,0.6354679802955665,0.5188834154351396,0.9679802955665024,0.3103448275862069,0.9679802955665024,0.06239737274220033,0.9302134646962233,0.3251231527093596,0.20935960591133004
SH600115,中国东航,53,0.0180623973727422,0.018883415435139574,0.005747126436781609,0.1839080459770115,0.005747126436781609,0.0024630541871921183,0.944991789819376,0.0361247947454844,0.555008210180624
SH600127,金健米业,55,0.06198686371100164,0.05090311986863711,0.22167487684729065,0.1839080459770115,0.22085385878489328,0.07471264367816093,0.8226600985221675,0.21182266009852216,0.2660098522167488
SH600251,冠农股份,84,0.4133825944170772,0.6091954022988506,0.2742200328407225,0.30377668308702793,0.2733990147783251,0.09852216748768473,0.7274220032840722,0.27627257799671595,0.2639573070607553
SH600316,洪都航空,106,0.26683087027914615,0.16009852216748768,0.6362889983579638,0.7036124794745484,0.6354679802955665,0.0665024630541872,0.8834154351395731,0.2881773399014778,0.4269293924466338
SH600319,*ST亚星,108,0.5706075533661741,0.9991789819376026,0.3760262725779967,0.10837438423645321,0.37520525451559933,0.06157635467980296,0.9663382594417077,0.03201970443349754,0.3411330049261084
